row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
9,warlock,0.11085784829965055,eligible,ok,fighter,fighter,0.0,0.08980521672070318,0.021052631578947368
9,artificer,0.010526315789473684,eligible,ok,fighter,fighter,0.0,0.0,0.010526315789473684
9,bard,0.015789473684210527,eligible,ok,fighter,fighter,0.0,0.0,0.015789473684210527
10,paladin,0.7761577265576602,eligible,ok,druid,barbarian|druid,0.55,0.19984193708397605,0.02631578947368421
10,fighter,0.9989594638377092,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=14",druid,barbarian|druid,0.55,0.34895946383770915,0.1
10,rogue,0.6564052854562425,eligible,ok,druid,barbarian|druid,0.55,0.06956318019308462,0.03684210526315789
10,cleric,0.15723280843401827,eligible,ok,druid,barbarian|druid,0.0,0.1256538610655972,0.031578947368421054
10,monk,0.14043943140860543,eligible,ok,druid,barbarian|druid,0.0,0.10359732614544755,0.03684210526315789
11,sorcerer,-1000.0,ineligible,CHA>=13 (have 8),cleric,cleric,0.55,0.05334550444629308,0.015789473684210527
11,fighter,0.5747601142644039,eligible,"need STR>=13 or DEX>=13; have STR=14, DEX=10",cleric,cleric,0.0,0.47476011426440384,0.1
11,barbarian,0.15966721333265532,eligible,ok,cleric,cleric,0.0,0.12808826596423428,0.031578947368421054
11,wizard,0.08840568277999758,eligible,ok,cleric,cleric,0.0,0.051563577516839695,0.03684210526315789
11,artificer,0.010526315789473684,eligible,ok,cleric,cleric,0.0,0.0,0.010526315789473684
12,sorcerer,-1000.0,ineligible,CHA>=13 (have 8),cleric,cleric,0.55,0.05334550444629308,0.015789473684210527
12,fighter,0.5747601142644039,eligible,"need STR>=13 or DEX>=13; have STR=14, DEX=10",cleric,cleric,0.0,0.47476011426440384,0.1
12,barbarian,0.15966721333265532,eligible,ok,cleric,cleric,0.0,0.12808826596423428,0.031578947368421054
12,wizard,0.08840568277999758,eligible,ok,cleric,cleric,0.0,0.051563577516839695,0.03684210526315789
12,artificer,0.010526315789473684,eligible,ok,cleric,cleric,0.0,0.0,0.010526315789473684
13,fighter,0.7023691404312704,eligible,"need STR>=13 or DEX>=13; have STR=16, DEX=12",monk,monk|ranger,0.55,0.05236914043127042,0.1
13,warlock,0.5827619613466033,eligible,ok,monk,monk|ranger,0.55,0.011709329767655948,0.021052631578947368
